open,high,low,close,volume,number_of_trades,vol_ma,rsi,atr,rsi_lag1,vol_ma_lag1,price_roc,target
9497.5,9590.0,9474.62,9536.47,3886.75191,35862,1488.81786135,75.47497776699812,81.55071428571422,73.8575891414413,1328.2790369499999,2.1086714213670144,0
9568.44,9749.0,9567.8,9712.09,4455.047422,36959,1694.6867525000002,84.64180201256731,98.57285714285705,81.17982174032896,1541.6009984,1.8338734994269856,0
9712.05,9798.0,9630.56,9684.3,4085.798423,30495,1866.1654553499998,81.4853314853315,107.48285714285703,84.64180201256731,1694.6867525000002,1.7566238525940525,0
9683.58,9752.37,9649.0,9750.0,2232.434193,18605,1928.13617475,81.81947063243405,109.35357142857136,81.4853314853315,1866.1654553499998,1.8640600611393277,0
9825.84,9904.0,9642.12,9757.08,5123.102286,42014,2149.4895681499997,68.26958216591535,106.54000000000009,73.7364932651349,1957.0411088999997,0.06522595254505603,0
9790.39,9898.0,9789.86,9865.36,2166.731783,23690,2001.9310889,66.14646500677759,98.8864285714287,57.41182917759421,2087.9320952499997,1.1097582473444945,2
9904.25,10174.99,9894.57,10159.86,6635.943894,46011,1942.8240449500001,82.04836095823401,110.81785714285732,73.11610918877393,1722.6485599000002,2.443761028485003,0
10159.86,10168.9,9921.72,10085.34,7989.049012,50657,2270.1025048,74.3154865713291,123.00500000000024,82.04836095823401,1942.8240449500001,1.7748696699921185,0
10087.08,10493.89,10065.72,10462.02,9114.263998,57762,2665.1825227500003,82.44270258993251,147.10571428571453,74.3154865713291,2270.1025048,5.639195681544162,0
10463.73,10791.39,10390.0,10730.0,8628.657535,64708,3008.4997628,85.94726546969686,169.95214285714297,82.44270258993251,2665.1825227500003,5.611691499686011,0
10730.0,10951.81,10474.0,10579.96,7438.847419,61673,3327.7048334500005,80.72970348793793,185.37571428571442,85.94726546969686,3008.4997628,4.90434630860237,0
10867.04,11160.0,10863.27,11089.98,7946.16251,61978,3818.8972465499996,80.55409623288725,235.27714285714268,77.76366757126625,3529.9257102,1.4633994600197653,0
11083.14,11120.0,10310.0,10716.6,8705.105939,72540,4306.97875285,65.90812870448772,267.4535714285712,77.27495671392181,3951.5212498,-1.3843696167493702,0
10905.4,11134.7,10905.2,11058.32,5621.577805,46453,1886.4828505500002,63.012713388192,126.21285714285698,59.762510211830815,1760.5762676,2.931671283471826,0
11058.49,11180.0,11043.92,11136.07,3428.047959,33922,1919.44354485,69.18367556573644,129.60785714285703,63.012713388192,1886.4828505500002,3.127037338865013,0
11136.49,11392.64,10924.41,11004.07,6730.735587,61532,2157.44770305,62.008359726007285,156.1785714285713,69.18367556573644,1919.44354485,0.896269319073717,0
11004.08,11139.98,10842.78,10936.17,4695.124156,37401,2308.5660804,59.943750723141484,170.4792857142855,62.008359726007285,2157.44770305,-1.1045981668101446,0
